Sentence,Label,Processed_Sentence
5739-5738,1.0,0-0
SELECT * FROM egg  WHERE women NOT LIKE '[there]%',0.0,select * from egg  where women not like '[there]%'
SELECT * FROM  ( SELECT baseball FROM soon ) ,0.0,select * from  ( select baseball from soon ) 
"1""  )   as piwi where 2918  =  2918",1.0,"0""  )   as piwi where 0  =  0"
-9355' or 6872  =  6872 and 'mztk'  =  'mztk,1.0,-0' or 0  =  0 and 'mztk'  =  'mztk
92251391r,0.0,0r
SELECT * FROM coal ORDER BY beside DESC,0.0,select * from coal order by beside desc
1063,0.0,0
select   (  case when   (  2768  =  8868  )   then 2768 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1.0,select   (  case when   (  0  =  0  )   then 0 else cast  (  0 as int  )  /  (  select 0 from dual  )   end  )   from dual--
SELECT TOP 50 PERCENT * FROM fallen,0.0,select top 0 percent * from fallen
SELECT * FROM goose WHERE mistake BETWEEN judge09/01/1996twelve AND within15/31/1996plain,0.0,select * from goose where mistake between judge0/0/0twelve and within0/0/0plain
4.28192E+015,0.0,0.0e+0
"1%"" or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",1.0,"0%"" or 0  =    (  select count  (  *  )   from generate_series  (  0,0   )    )   --"
"INSERT INTO page  ( flew, reach, printed )  VALUES  ( 'baby', 'bush', 'unhappy' )  ",0.0,"insert into page  ( flew, reach, printed )  values  ( 'baby', 'bush', 'unhappy' )  "
5498,0.0,0
coomes@queinvento.cl,0.0,coomes@queinvento.cl
SELECT * FROM meet,0.0,select * from meet
"1%' union all select null,null,null,null--",1.0,"0%' union all select null,null,null,null--"
"1 where 2751  =  2751 union all select null,null,null,null--",1.0,"0 where 0  =  0 union all select null,null,null,null--"
SELECT AVG ( weigh ) FROM pay,0.0,select avg ( weigh ) from pay
SELECT * FROM handle,0.0,select * from handle
"1   )    )    as npdl where 5796  =  5796 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1.0,"0   )    )    as npdl where 0  =  0 and 0  =    (  select count  (  *  )   from sysibm.systables as t0,sysibm.systables as t0,sysibm.systables as t0  )  --"
SELECT straw FROM valley UNION SELECT world FROM snow ORDER BY represent,0.0,select straw from valley union select world from snow order by represent
SELECT AVG ( neck ) FROM leader,0.0,select avg ( neck ) from leader
cabildeo,0.0,cabildeo
"1 and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1.0,"0 and 0  =    (  select count  (  *  )   from all_users t0,all_users t0,all_users t0,all_users t0,all_users t0  )  --"
"almirante cruilles 19, 11?c",0.0,"almirante cruilles 0, 0?c"
"  SELECT root AS hunt, long AS [birth]  FROM attention",0.0,"  select root as hunt, long as [birth]  from attention"
gula,0.0,gula
SELECT AVG ( specific ) FROM elephant,0.0,select avg ( specific ) from elephant
"  SELECT * FROM simple WHERE too IN  ( 'since', 'still', 'stone' )  ",0.0,"  select * from simple where too in  ( 'since', 'still', 'stone' )  "
"  SELECT * FROM title WHERE captured NOT IN  ( 'addition', 'cookies', 'previous' )  ",0.0,"  select * from title where captured not in  ( 'addition', 'cookies', 'previous' )  "
SELECT * FROM of WHERE garden = 'observe' FETCH FIRST 3 ROWS ONLY,0.0,select * from of where garden = 'observe' fetch first 0 rows only
43120,0.0,0
"-4929"" where 6381  =  6381 or 8571  =  8571--",1.0,"-0"" where 0  =  0 or 0  =  0--"
j0ctar,0.0,j0ctar
SELECT though ( s )  FROM opposite SELECT sure FROM younger,0.0,select though ( s )  from opposite select sure from younger
"1%'   )    )     )   union all select null,null,null,null#",1.0,"0%'   )    )     )   union all select null,null,null,null#"
47185,0.0,0
"1""  )   where 8153  =  8153",1.0,"0""  )   where 0  =  0"
brando@elsentidodelavida.lc,0.0,brando@elsentidodelavida.lc
SELECT baby ( s )  FROM floating LEFT JOIN,0.0,select baby ( s )  from floating left join
calle conde de cartagena 97 5f,0.0,calle conde de cartagena 0 0f
